ID,Acronym,Name,Sector,Type,Saved_Filename,File_Size_Bytes,Official_Logo_URL,Audit_Status,Classification,Audit_Notes
56,IIM,Indian Institute of Management Indore (IIM),Education & Research,IIM,056_IIM_Indian_Institute_of_Management_Indore_(IIM).svg,30926,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/IIM_Indore_Logo.svg/250px-IIM_Indore_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
57,IIM,Indian Institute of Management Kozhikode (IIM),Education & Research,IIM,057_IIM_Indian_Institute_of_Management_Kozhikode_IIMK.svg,35197,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/IIMKozhikode_Logo.svg/250px-IIMKozhikode_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
58,IIM,Indian Institute of Management Lucknow (IIM),Education & Research,IIM,058_IIM_Indian_Institute_of_Management_Lucknow_(IIM).svg,147840,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/IIM_Lucknow_Logo.svg/250px-IIM_Lucknow_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
59,IIT,Indian Institute of Technology Bombay (IIT),Education & Research,IIT,059_IIT_Indian_Institute_of_Technology_Bombay_(IIT).jpg,84592,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/IIT_Bombay_Logo.svg/250px-IIT_Bombay_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
60,IIT,Indian Institute of Technology Delhi (IIT),Education & Research,IIT,060_IIT_Indian_Institute_of_Technology_Delhi_(IIT).jpg,61800,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/IIT_Delhi_logo.svg/250px-IIT_Delhi_logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
61,IIT,Indian Institute of Technology Guwahati (IIT),Education & Research,IIT,061_IIT_Indian_Institute_of_Technology_Guwahati_(IIT).webp,18066,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/IIT_Guwahati_Logo.svg/250px-IIT_Guwahati_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
62,IIT,Indian Institute of Technology Hyderabad (IIT),Education & Research,IIT,062_IIT_Indian_Institute_of_Technology_Hyderabad_(IIT).webp,9892,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/IIT_Hyderabad_Insignia.svg/250px-IIT_Hyderabad_Insignia.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
63,IIT,Indian Institute of Technology Kanpur (IIT),Education & Research,IIT,063_IIT_Indian_Institute_of_Technology_Kanpur_(IIT).webp,20312,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/IIT_Kanpur_Logo.svg/250px-IIT_Kanpur_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
64,IIT,Indian Institute of Technology Kharagpur (IIT),Education & Research,IIT,064_IIT_Indian_Institute_of_Technology_Kharagpur_(IIT).webp,19650,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/IIT_Kharagpur_Logo.svg/250px-IIT_Kharagpur_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
65,IIT,Indian Institute of Technology Madras (IIT),Education & Research,IIT,065_IIT_Indian_Institute_of_Technology_Madras_(IIT).webp,19980,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/IIT_Madras_Logo.svg/250px-IIT_Madras_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
